Connection/Authentication	user	No		-2147483647	all versions	 The user to connect as 
Connection/Authentication	password	No		-2147483646	all versions	 The password to use when connecting 
Connection/Authentication	socketFactory	No	com.mysql.jdbc.StandardSocketFactory	4	3.0.3	 The name of the class that the driver should use for creating socket connections to the server. This class must implement the interface 'com.mysql.jdbc.SocketFactory' and have public no-args constructor. 
Connection/Authentication	connectTimeout	No	0	9	3.0.1	 Timeout for socket connect (in milliseconds), with 0 being no timeout. Only works on JDK-1.4 or newer. Defaults to '0'. 
Connection/Authentication	socketTimeout	No	0	10	3.0.1	 Timeout (in milliseconds) on network socket operations (0, the default means no timeout). 
Connection/Authentication	connectionLifecycleInterceptors	No		2147483647	5.1.4	 A comma-delimited list of classes that implement "com.mysql.jdbc.ConnectionLifecycleInterceptor" that should notified of connection lifecycle events (creation, destruction, commit, rollback, setCatalog and setAutoCommit) and potentially alter the execution of these commands. ConnectionLifecycleInterceptors are "stackable", more than one interceptor may be specified via the configuration property as a comma-delimited list, with the interceptors executed in order from left to right. 
Connection/Authentication	useConfigs	No		2147483647	3.1.5	 Load the comma-delimited list of configuration properties before parsing the URL or applying user-specified properties. These configurations are explained in the 'Configurations' of the documentation. 
Connection/Authentication	authenticationPlugins	No		alpha	5.1.19	 Comma-delimited list of classes that implement com.mysql.jdbc.AuthenticationPlugin and which will be used for authentication unless disabled by "disabledAuthenticationPlugins" property. 
Connection/Authentication	defaultAuthenticationPlugin	No	com.mysql.jdbc.authentication.MysqlNativePasswordPlugin	alpha	5.1.19	 Name of a class implementing com.mysql.jdbc.AuthenticationPlugin which will be used as the default authentication plugin (see below). It is an error to use a class which is not listed in "authenticationPlugins" nor it is one of the built-in plugins. It is an error to set as default a plugin which was disabled with "disabledAuthenticationPlugins" property. It is an error to set this value to null or the empty string (i.e. there must be at least a valid default authentication plugin specified for the connection, meeting all constraints listed above). 
Connection/Authentication	disabledAuthenticationPlugins	No		alpha	5.1.19	 Comma-delimited list of classes implementing com.mysql.jdbc.AuthenticationPlugin or mechanisms, i.e. "mysql_native_password". The authentication plugins or mechanisms listed will not be used for authentication which will fail if it requires one of them. It is an error to disable the default authentication plugin (either the one named by "defaultAuthenticationPlugin" property or the hard-coded one if "defaultAuthenticationPlugin" property is not set). 
Connection/Authentication	disconnectOnExpiredPasswords	No	true	alpha	5.1.23	 If "disconnectOnExpiredPasswords" is set to "false" and password is expired then server enters "sandbox" mode and sends ERR(08001, ER_MUST_CHANGE_PASSWORD) for all commands that are not needed to set a new password until a new password is set. 
Connection/Authentication	interactiveClient	No	false	alpha	3.1.0	 Set the CLIENT_INTERACTIVE flag, which tells MySQL to timeout connections based on INTERACTIVE_TIMEOUT instead of WAIT_TIMEOUT 
Connection/Authentication	localSocketAddress	No		alpha	5.0.5	 Hostname or IP address given to explicitly configure the interface that the driver will bind the client side of the TCP/IP connection to when connecting. 
Connection/Authentication	propertiesTransform	No		alpha	3.1.4	 An implementation of com.mysql.jdbc.ConnectionPropertiesTransform that the driver will use to modify URL properties passed to the driver before attempting a connection 
Connection/Authentication	useCompression	No	false	alpha	3.0.17	 Use zlib compression when communicating with the server (true/false)? Defaults to 'false'. 
Connection/Authentication	socksProxyHost	No		1	5.1.34	 Name or IP address of SOCKS host to connect through. 
Connection/Authentication	socksProxyPort	No	1080	2	5.1.34	 Port of SOCKS server. 
Connection/Authentication	maxAllowedPacket	No	-1	alpha	5.1.8	 Maximum allowed packet size to send to server. If not set, the value of system variable 'max_allowed_packet' will be used to initialize this upon connecting. This value will not take effect if set larger than the value of 'max_allowed_packet'. Also, due to an internal dependency with the property "blobSendChunkSize", this setting has a minimum value of "8203" if "useServerPrepStmts" is set to "true". 
Connection/Authentication	tcpKeepAlive	No	true	alpha	5.0.7	 If connecting using TCP/IP, should the driver set SO_KEEPALIVE? 
Connection/Authentication	tcpNoDelay	No	true	alpha	5.0.7	 If connecting using TCP/IP, should the driver set SO_TCP_NODELAY (disabling the Nagle Algorithm)? 
Connection/Authentication	tcpRcvBuf	No	0	alpha	5.0.7	 If connecting using TCP/IP, should the driver set SO_RCV_BUF to the given value? The default value of '0', means use the platform default value for this property) 
Connection/Authentication	tcpSndBuf	No	0	alpha	5.0.7	 If connecting using TCP/IP, should the driver set SO_SND_BUF to the given value? The default value of '0', means use the platform default value for this property) 
Connection/Authentication	tcpTrafficClass	No	0	alpha	5.0.7	 If connecting using TCP/IP, should the driver set traffic class or type-of-service fields ?See the documentation for java.net.Socket.setTrafficClass() for more information. 
